step, L_x0, L_y0, L_x1, L_y1, L_x2, L_y2, L_x3, L_y3

1, 166, 95,  157, 219, 321, 102, 312, 246
2, 163, 97,  160, 226, 326, 101, 308, 248
3, 159, 99,  163, 232, 318, 99, 321, 261
4, 163, 95,  161, 232, 320, 100, 314, 329
5, 168, 99,  160, 212, 329, 104, 328, 255
6, 160, 91,  159, 225, 334, 102, 324, 255
7, 167, 90,  167, 234, 327, 101, 320, 252
8, 169, 99,  161, 233, 330, 100, 328, 263
9, 159, 95,  160, 215, 327, 101, 335, 253
10, 168, 111,  170, 236, 334, 113, 324, 253
11, 164, 63,  159, 188, 322, 103, 316, 188
12, 171, 95,  167, 232, 320, 102, 322, 219
13, 166, 89,  169, 214, 320, 99, 326, 226
14, 161, 49,  167, 182, 314, 31, 310, 169
15, 179, 31,  171, 185, 326, 43, 309, 174
16, 174, 34,  168, 178, 331, 46, 320, 187
17, 170, 30,  169, 185, 321, 34, 311, 182
18, 174, 10,  162, 174, 317, 29, 309, 174
19, 165, 66,  166, 177, 326, 45, 324, 173
20, 163, 68,  164, 215, 323, 99, 326, 210
21, 169, 18,  169, 179, 323, 33, 326, 207
22, 175, 29,  178, 244, 318, 32, 318, 249
23, 173, 5,  171, 225, 310, 11, 308, 171
24, 170, 11,  167, 179, 329, 14, 335, 184
25, 173, 17,  172, 210, 330, 42, 328, 188
26, 181, 38,  175, 227, 330, 42, 322, 216

100, 167, 91,  172, 237, 318, 102, 321, 253
101, 168, 96,  168, 233, 328, 98, 320, 249
102, 172, 9,  171, 235, 335, 13, 333, 247
103, 175, 12,  172, 234, 338, 9, 318, 305
104, 169, 20,  180, 252, 338, 10, 349, 216
105, 168, 21,  182, 248, 323, 14, 324, 257
106, 179, 21,  188, 252, 332, 27, 333, 246
107, 187, 21,  186, 254, 342, 14, 333, 243
108, 181, 30,  180, 245, 337, 22, 328, 254
109, 173, 14,  170, 219, 343, 16, 332, 246
110, 176, 15,  170, 229, 342, 13, 322, 250
200, 174, 12,  177, 254, 325, 18, 335, 247
201, 172, 7,  180, 252, 328, 23, 331, 250
202, 174, 11,  188, 245, 330, 16, 331, 250

300, 177, 3,  126, 253, 301, 6, 240, 290
301, 156, 72,  154, 120, 300, 85, 293, 125
302, 156, 79,  132, 252, 306, 55, 302, 104
303, 155, 70,  152, 281, 293, 51, 281, 264
305, 135, 227,  170, 11, 273, 272, 314, 38
306, 140, 248,  166, 12, 280, 277, 329, 42
307, 142, 242,  175, 11, 285, 267, 330, 11
9200, 177, 97,  219, 184, 293, 35, 343, 163
9201, 171, 77,  238, 239, 312, 35, 379, 206
9202, 181, 27,  260, 271, 303, 12, 389, 276

852, 150, 20,  196, 180, 293, 8, 332, 148
853, 154, 13,  206, 173, 291, 6, 344, 154
854, 153, 15,  211, 161, 287, 14, 340, 141
855, 162, 21,  213, 154, 295, 13, 350, 138
856, 155, 21,  212, 150, 291, 9, 373, 188
857, 155, 25,  218, 146, 288, 27, 335, 127
858, 170, 37,  247, 214, 312, 31, 387, 185
859, 173, 32,  220, 150, 316, 31, 392, 238
860, 170, 35,  225, 149, 321, 29, 375, 155
861, 159, 12,  228, 138, 295, 9, 355, 128
862, 185, 29,  232, 136, 312, 12, 355, 139
863, 170, 26,  225, 139, 298, 12, 358, 135
864, 178, 44,  261, 194, 296, 7, 384, 189
865, 173, 13,  259, 194, 304, 11, 385, 192
866, 170, 21,  255, 186, 311, 11, 382, 183
867, 166, 5,  253, 182, 297, 11, 377, 176
868, 177, 17,  253, 177, 316, 23, 374, 170
869, 212, 31,  254, 171, 326, 34, 385, 178
870, 170, 11,  251, 176, 304, 7, 375, 167
871, 175, 6,  252, 177, 297, 7, 374, 156
872, 180, 11,  255, 166, 324, 29, 377, 154
873, 192, 35,  260, 169, 323, 23, 377, 151
874, 165, 6,  253, 164, 320, 5, 394, 160
875, 194, 27,  254, 156, 343, 23, 396, 141
876, 177, 26,  251, 149, 339, 21, 390, 139
877, 187, 34,  264, 179, 347, 51, 401, 184
878, 201, 32,  237, 147, 338, 17, 377, 129
